wordform	frequency	dispersion
captain	2	0.977632772523843
marvel	1	0.9866738835180147
superman	1	0.9866738835180147
batman	5	0.9798579683561117
father	108	0.5583491619598427
history	45	0.7444078590174722
historical	10	0.8736549843885472
factual	4	0.9596106909633997
busy	10	0.8144517448241642
taking	36	0.6841524960783427
biographical	1	0.9866738835180147
novels	12	0.9077044899841127
terms	6	0.9368725975151979
analytical	1	0.9866738835180147
sport	7	0.9477830734765673
kings	1	0.9866738835180147
peruse	1	0.9866738835180147
paper	19	0.7196453719434881
check	12	0.8652804298035912
spent	41	0.6436831220411856
her	855	0.41577646963554643
result	2	0.9798730034630863
amusement	1	0.9866738835180147
lives	37	0.721324292222339
library	29	0.8159229386825132
absolutely	47	0.7865165160650117
reasons	11	0.8152035001729037
educated	2	0.9756381149985214
poetry	15	0.9286534057023147
golly	9	0.864182866994432
too	188	0.35536872213640125
whose	11	0.8665584138964482
woods	29	0.8442362917412156
house	299	0.4527350963161189
village	3	0.982980258904542
beyond	6	0.8669342915708177
gail	1	0.9866738835180147
dating	28	0.8527311271819696
poem	16	0.8919025925536125
self-written	1	0.9866738835180147
robert	2	0.9633143389815216
frost	1	0.9866738835180147
middle	45	0.5782585670874827
adulthood	3	0.9751519798730035
gee	1	0.9866738835180147
off	196	0.4031250469847095
howled	1	0.9866738835180147
catcher	1	0.9866738835180147
rye	2	0.9694937679481588
j	4	0.9656848741812133
salinger	1	0.9866738835180147
peyton	1	0.9866738835180147
fascination	1	0.9866738835180147
summer	62	0.707208590122452
camp	12	0.8719409821934215
nh	1	0.9866738835180147
gilmanton	1	0.9866738835180147
iron	11	0.9222484501310562
works	11	0.8883893892238376
author	12	0.9006430014082883
such	59	0.6066573924690422
racy	1	0.9866738835180147
shocking	2	0.9355645432083914
gosh	19	0.788312024366369
ahead	36	0.7519750283578824
dave	3	0.9591846962657805
got--	1	0.9866738835180147
painting	3	0.9732926383104548
84	3	0.9663313837811288
ayn	1	0.9866738835180147
rand	1	0.9866738835180147
um--	15	0.7503570837906512
appearing	1	0.9866738835180147
future	13	0.8211273323209693
atlas	1	0.9866738835180147
shrugged	1	0.9866738835180147
george	12	0.8517839154425583
orwell	1	0.9866738835180147
1984	1	0.9866738835180147
animal	7	0.9504944044343542
farm	40	0.8197791843955635
whew	4	0.8692897916635343
political	8	0.9440493552444957
non-fiction	6	0.9141796093879209
making	41	0.6192175803672304
president	15	0.8434243959645772
series	13	0.8606245583437326
1960	1	0.9866738835180147
positions	3	0.9756381149985215
power	18	0.8687234693008171
aspiring	1	0.9866738835180147
civil	8	0.9496774969553907
war	51	0.7784155414657933
lawyer	2	0.983531546160284
grisham	1	0.9866738835180147
turow	1	0.9866738835180147
current	3	0.9599665218284694
writers	10	0.9106613943558207
novelists	1	0.9866738835180147
anita	1	0.9866738835180147
shrever	1	0.9866738835180147
rosamunde	1	0.9866738835180147
pilcher	1	0.9866738835180147
maeve	1	0.9866738835180147
binchy	1	0.9866738835180147
foreign	3	0.9866738835180147
authors	11	0.8901735552515122
somebody	66	0.5450169327197187
language	19	0.8649045521292216
remembered	18	0.7584209128314612
freshmen	1	0.9866738835180147
american	19	0.8422316108112441
tragedy	7	0.904592222840332
ended	43	0.646291066384193
living	68	0.5036521306662822
subject	11	0.8774688898578179
many	113	0.40755872927888387
town	83	0.5781796277440354
young	77	0.5457174320219528
man	98	0.49716306964517243
charged	6	0.9472117394115257
murder	5	0.9539825492525045
retrospect	2	0.9549648429081907
lend	3	0.9657951316323616
itself	12	0.8707181268261388
dostoevsky	1	0.9866738835180147
dr	15	0.8587752401858341
zhivago	1	0.9866738835180147
notice	4	0.9302170568276926
differences	9	0.9673136774368147
between	39	0.6418012983393147
writer	8	0.9221832980008319
someone	40	0.6748341126530447
descent	1	0.9866738835180147
cultural	5	0.9647025805255272
writing	42	0.8209268642279722
final	5	0.891085685074649
question	28	0.7520351091226585
imparted	2	0.9770313682448516
important	41	0.6467152019477675
majors	2	0.9866738835180147
brother	98	0.6369995879153334
am	64	0.5321665150626714
philosophy	4	0.9210005362521486
imagine	27	0.6786045416046467
pure	3	0.9559321014569019
enjoyment	2	0.9721098765617716
growth	8	0.9578465717450245
broadening	1	0.9866738835180147
knowledge	3	0.9619160740328666
base	9	0.9224739767356777
fundamental	1	0.9866738835180147
truly	8	0.9544887311873224
sad	17	0.7653370620398633
retired	5	0.9383861316173263
aliteracy	1	0.9866738835180147
volunteer	1	0.9866738835180147
literacy	3	0.979762746011938
capacity	2	0.9636952283582163
handicap	1	0.9866738835180147
intellectual	1	0.9866738835180147
stimulation	1	0.9866738835180147
often	26	0.7373449697351007
superior	1	0.9866738835180147
ideas	6	0.9462194223511897
listening	13	0.8486014844662286
street	60	0.557927260152456
corner	9	0.9006279663013134
gazing	1	0.9866738835180147
tv	23	0.8141009256614195
pleasure	4	0.8900432509910642
shannon	1	0.9867741175645133
averitt	1	0.9867741175645133
19	16	0.7792645828008399
nc	55	0.684389321793661
west	17	0.8893265775585993
lake	37	0.8802213980455174
norman	3	0.9733928723569534
